start_date,end_date,event
2013-01-01,2013-01-01,New Year's Day
2013-01-21,2013-01-21,Martin Luther King Jr. Day
2013-02-18,2013-02-18,Washington's Birthday
2013-05-27,2013-05-27,Memorial Day
2013-07-04,2013-07-04,Independence Day
2013-09-02,2013-09-02,Labor Day
2013-10-14,2013-10-14,Columbus Day
2013-11-11,2013-11-11,Veterans Day
2013-11-28,2013-11-28,Thanksgiving
2013-12-25,2013-12-25,Christmas Day
2014-01-01,2014-01-01,New Year's Day
2014-01-20,2014-01-20,Martin Luther King Jr. Day
2014-02-17,2014-02-17,Washington's Birthday
2014-05-26,2014-05-26,Memorial Day
2014-07-04,2014-07-04,Independence Day
2014-09-01,2014-09-01,Labor Day
2014-10-13,2014-10-13,Columbus Day
2014-11-11,2014-11-11,Veterans Day
2014-11-27,2014-11-27,Thanksgiving
2014-12-25,2014-12-25,Christmas Day
2015-01-01,2015-01-01,New Year's Day
2015-01-19,2015-01-19,Martin Luther King Jr. Day
2015-02-16,2015-02-16,Washington's Birthday
2015-05-25,2015-05-25,Memorial Day
2015-07-04,2015-07-04,Independence Day
2015-07-03,2015-07-03,Independence Day (Observed)
2015-09-07,2015-09-07,Labor Day
2015-10-12,2015-10-12,Columbus Day
2015-11-11,2015-11-11,Veterans Day
2015-11-26,2015-11-26,Thanksgiving
2015-12-25,2015-12-25,Christmas Day
2015-12-31,2016-01-01,New Year's Day
2016-01-18,2016-01-18,Martin Luther King Jr. Day
2016-02-15,2016-02-15,Washington's Birthday
2016-05-30,2016-05-30,Memorial Day
2016-07-04,2016-07-04,Independence Day
2016-09-05,2016-09-05,Labor Day
2016-10-10,2016-10-10,Columbus Day
2016-11-11,2016-11-11,Veterans Day
2016-11-24,2016-11-24,Thanksgiving
2016-12-25,2016-12-25,Christmas Day
2016-12-26,2016-12-26,Christmas Day (Observed)